Directory,Project,Notes
Ann,Felix,Felix_LastSputumTest; Felix_SputumTest_Redo; NovaSeq20733_Felix_P6andP12-Sputum; NovaSeq21344_Felix_Sputum_PostTher; Felix_NonPreciousSputum_6; NovaSeq20036_Felix_Sputum-with-Replicates; NovaSeq21343_Felix_Sputum_Day0; NovaSeq21345_Felix_Sputum_PostTher
faith_FMT,FMT,"Runs: M405, M406, M413, M415, M5416, M417, Virgin"
Hana_RNASeq,Diamond lab RNAseq,
HepB_virome_Data,HepB_virome,Clumped
Hepb_virus_new,EMPTY,
HibberdM,,
HiSeq2500_run2405_MM_YTW_RNASeq,RNASeq,Clumped
MiSeq_Dong_Oh_20210927_16S,Dong-Oh_neurodegeneration_16S,MiSeq_Dong_Oh_20210927_PoolA_16S; MiSeq_Dong_Oh_20210927_PoolB_16S; sequenced by the Gordon lab
MiSeq_M284,16S,Clumped; 16S
MiSeq_M291,ITS,Clumped; IT IS
MiSeq_M297,Miles Parkes RC2 IBD virome,"Clumped; database_ID: 19058, 19061, 19062, 19063, 19064, 19065, 19066, 19068, 19069"
MiSeq_M298,Miles Parkes RC2 IBD virome,"Clumped; database_ID: 19071, 19072, 19073, 19075, 19076, 19077, 19079, 19080, 19081"
MiSeq_M306,Miles Parkes RC2 IBD virome,"Clumped; database_ID: 19083, 19084, 19085, 19086, 19087, 19089, 19090, 19091, 19092, 19093, 19094"
MiSeq_M307,Miles Parkes RC2 IBD virome,"Clumped; database_ID: 19050, 19051, 19052, 19053, 19054, 19055, 19056, 19057, 19082, 19095, 19097 "
MiSeq_M313,Miles Parkes RC2 IBD virome,"Clumped; database_ID: 19039, 19040, 19041, 19043, 19044, 19045, 19046, 19047, 19049"
MiSeq_M314,Miles Parkes RC2 IBD virome,"Clumped; database_ID: 18934, 18935, 18936, 18937, 18938, 18939, 18940, 18941, 18942, 18943, 18944, 18945"
MiSeq_M315,Miles Parkes RC2 IBD virome,"Clumped; database_ID: 18947, 18948, 18949, 18950, 18951, 18952, 18954, 18955, 18956, 18957"
MiSeq_M316,Miles Parkes RC2 IBD virome,"Clumped; database_ID: 18958, 18959, 18960, 18961, 18962, 18963, 18964, 18965, 18966, 18967, 18968, 18969"
MiSeq_M317,Miles Parkes RC2 IBD 16S,"Clumped, database_ID: 18934, 18935, 18936, 18937, 18938, 18939, 18940, 18941, 18942, 18943, 18944, 18945, 18946, 18947, 18948, 18949, 18950, 18951, 18952, 18953, 18954, 18955, 18956, 18957, 18958, 18959, 18960, 18961, 18962, 18963, 18964, 18965, 18966, 18967, 18968, 18969, 18970, 18971, 18972, 18973, 18974, 18975, 18976, 18977, 18978, 18979, 18980, 18981, 18982, 18983, 18984, 18985, 18986, 18987, 18988, 18989, 18990, 18991, 18992, 18993, 18994, 18995, 18996, 18997, 18998, 18999, 19000, 19001, 19002, 19003, 19004, 19005, 19006, 19007, 19008, 19009, 19010, 19011, 19012, 19013, 19014, 19015, 19016, 19017, 19018, 19019, 19020, 19021, 19022, 19023, 19024, 19025, 19026, 19027, 19028, 19029, 19030, 19031, 19032, 19033, 19034, 19035, 19036, 19037, 19038, 19039, 19040, 19041, 19042, 19043, 19044, 19045, 19046, 19047, 19048, 19049, 19050, 19051, 19052, 19053, 19054, 19055, 19056, 19057, 19058, 19059, 19060, 19061, 19062, 19063, 19064, 19065, 19066, 19067, 19068, 19069, 19070, 19071, 19072, 19073, 19074, 19075, H2O, 19076, 19077, 19078, 19079, 19080, 19081, 19082, 19083, 19084, 19085, 19086, 19087, 19088, 19089, 19090, 19091, 19092, 19093, 19094, 19095, 19096, 19097"
MiSeq_M318,Miles Parkes RC2 IBD virome,"Clumped; database_ID: 18971, 18972, 18973, 18974, 18975, 18976, 18977, 18978, 18979, 18980, 18981"
MiSeq_M319,Miles Parkes RC2 IBD virome,"Clumped; database_ID: 18982, 18983, 18984, 18985, 18986, 18987, 18988, 18989, 18990, 18991, 18992, 18993"
MiSeq_M320,Miles Parkes RC2 IBD virome,"Clumped; database_ID: 18995, 18996, 18997, 18998, 18999, 19000, 19002, 19003, 19004, 19005"
MiSeq_M321,Miles Parkes RC2 IBD virome,"Clumped; database_ID: 19020, 19021, 19022, 19023, 19024, 19025, 19026, 19027, 19028, 19029, 19030"
MiSeq_M325,16S,Clumped; 16S
MiSeq_M326,Miles Parkes RC2 IBD virome,"Clumped; database_ID: 19006, 19007, 19008, 19009, 19010, 19011, 19012, 19014, 19015, 19017, 19018"
MiSeq_M327,Miles Parkes RC2 IBD virome,"Clumped; database_ID: 18946, 18970, 18994, 19019, 19031, 19032, 19033, 19034, 19035, 19036, 19037"
MiSeq_M329,Ghana-Armah,Clumped
MiSeq_M330,Ghana-Armah,Clumped
MiSeq_M332,EMPTY,not on Endeavor
MiSeq_M333,George-Armah,Clumped
MiSeq_M335,Ghana-Armah,Clumped
MiSeq_M336,George-Armah; Ghana-Armah,Clumped
MiSeq_M339,George-Armah,Clumped
MiSeq_M342,EMPTY,also empty on Endeavor
MiSeq_M343,16S George-Armah,Clumped; 16S
MiSeq_M345,George-Armah,Clumped
MiSeq_M346,George-Armah,Clumped
MiSeq_M347,Ghana-Armah,Clumped
MiSeq_M350,Ghana-Armah,Clumped
MiSeq_M351,Ghana-Armah,Clumped
MiSeq_M352,Ghana-Armah,Clumped
MiSeq_M353,Ghana-Armah,Clumped
MiSeq_M354,Ghana-Armah,Clumped
MiSeq_M355,Ghana-Armah,Clumped
MiSeq_M356,Ghana-Armah,Clumped
MiSeq_M357,16S George-Armah,Clumped; 16S
MiSeq_M359,Ghana-Armah,Clumped
MiSeq_M362,Ghana-Armah,Clumped
MiSeq_M363,George-Armah,Clumped
MiSeq_M366,16S,16S
MiSeq_M368,16S?,Clumped
MiSeq_M369,16S,Clumped; 16S
MiSeq_M370,Ghana-Armah,Clumped
MiSeq_M371,Faith-UC-Stool,Clumped
MiSeq_M372,Ghana-Armah,Clumped
MiSeq_M375,Ghana-Armah,Clumped
MiSeq_M376,SIV-Stool 16S?,Clumped
MiSeq_M378,16S hepb,Clumped
MiSeq_M381,Ghana-Armah,Clumped
MiSeq_M383,Ghana-Armah,Clumped
MiSeq_M384,Ghana-Armah,Clumped
MiSeq_M385,Ghana-Armah,Clumped
MiSeq_M386,Ghana-Armah,Clumped
MiSeq_M388,George-Armah,Clumped
MiSeq_M389,George-Armah; Ghana-Armah,Clumped
MiSeq_M390,Ghana-Armah,Clumped
MiSeq_M392,IBD-Faith,Clumped
MiSeq_M393,IBD-Faith,Clumped
MiSeq_M395,16S?,Clumped
MiSeq_M400,Barker-SIV-Stool,Clumped
MiSeq_M402,Jeremiah-Faith,Clumped
MiSeq_M405,Jeremiah-Faith,Clumped
MiSeq_M406,Jeremiah-Faith,Clumped
MiSeq_M408,Jeremiah-Faith,Clumped
MiSeq_M411,Jeremiah-Faith,Clumped
